Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Zhao, DY; Zhong, GY; Song, GQ",,,,"Zhao, Dongyan; Zhong, Gan-yuan; Song, Guo-qing",,,Transfer of endogenous small RNAs between branches of scions and rootstocks in grafted sweet cherry trees,PLOS ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932-6203,,,,,28-Jul,2020,15,7,,,,,,,e0236376,10.1371/journal.pone.0236376,http://dx.doi.org/10.1371/journal.pone.0236376,,,,,,,,32722723,,,,,WOS:000556916000010,View Full Record in Web of Science
J,"Villalobos-Gonzalez, L; Munoz-Araya, M; Franck, N; Pastenes, C",,,,"Villalobos-Gonzalez, Luis; Munoz-Araya, Mariana; Franck, Nicolas; Pastenes, Claudio",,,"Controversies in Midday Water Potential Regulation and Stomatal Behavior Might Result From the Environment, Genotype, and/or Rootstock: Evidence From Carmenere and Syrah Grapevine Varieties",FRONTIERS IN PLANT SCIENCE,,,,,,,,,,,,,,,,,"Pastenes, Claudio/H-7827-2013; /AAR-2470-2020; Franck, Nicolas/GWZ-4383-2022","Pastenes, Claudio/0000-0002-6390-6534; /0000-0003-0266-3564; Franck, Nicolas/0000-0002-2894-5108",,,,,,,,,,,,,1664-462X,,,,,02-Dec,2019,10,,,,,,,,1522,10.3389/fpls.2019.01522,http://dx.doi.org/10.3389/fpls.2019.01522,,,,,,,,31850024,,,,,WOS:000502741200001,View Full Record in Web of Science
J,"Barrios-Masias, FH; Knipfer, T; McElrone, AJ",,,,"Barrios-Masias, F. H.; Knipfer, T.; McElrone, A. J.",,,Differential responses of grapevine rootstocks to water stress are associated with adjustments in fine root hydraulic physiology and suberization,JOURNAL OF EXPERIMENTAL BOTANY,,,,,,,,,,,,,,,,,,"McElrone, Andrew/0000-0001-9466-4761",,,,,,,,,,,,,0022-0957,1460-2431,,,,SEP,2015,66,19,,,,,6069,6078,,10.1093/jxb/erv324,http://dx.doi.org/10.1093/jxb/erv324,,,,,,,,26160580,,,,,WOS:000362073400033,View Full Record in Web of Science
J,"Chou, MY; Li, KT",,,,"Chou, Ming-Yi; Li, Kuo-Tan",,,Rootstock and seasonal variations affect anthocyanin accumulation and quality traits of 'Kyoho' grape berries in subtropical double cropping system,VITIS,,,,,,,,,,,,,,,,,"LI, KUO-TAN/A-5540-2008; Chou, Ming-Yi/S-6690-2019","Chou, Ming-Yi/0000-0001-8210-2577; Li, Kuo-Tan/0000-0001-7204-6874",,,,,,,,,,,,,0042-7500,,,,,,2014,53,4,,,,,193,199,,,,,,,,,,,,,,,,WOS:000345106600004,View Full Record in Web of Science
J,"Tandonnet, JP; Soyer, JP; Gaudillere, JP; Decroocq, S; Bordenave, L; Ollat, N",,,,"Tandonnet, J. -P.; Soyer, J. -P.; Gaudillere, J. -P.; Decroocq, S.; Bordenave, L.; Ollat, Nathalie",,,Long term effects of nitrogen and water supply on confered vigour and yield by SO4 and Riparia Gloire de Montpellier rootstocks,JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151-0285,,,,,APR-JUN,2008,42,2,,,,,89,98,,,,,,,,,,,,,,,,WOS:000257252000004,View Full Record in Web of Science
J,"Padgett-Johnson, M; Williams, LE; Walker, MA",,,,"Padgett-Johnson, M; Williams, LE; Walker, MA",,,The influence of Vitis riparia rootstock on water relations and gas exchange of Vitis vinifera cv. Carignane scion under non-irrigated conditions,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9254,,,,,,2000,51,2,,,,,137,143,,,,,,,,,,,,,,,,WOS:000088877700008,View Full Record in Web of Science
J,"Svyantek, A; Brooke, M; Auwarter, C; Hatterman-Valenti, H",,,,"Svyantek, Andrej; Brooke, Matthew; Auwarter, Collin; Hatterman-Valenti, Harlene",,,INFLUENCE OF GREENHOUSE MAINTENACE TREATMENTS ON GROWTH OF SEEDLING GRAPEVINES (Vitis spp.),AGROLIFE SCIENTIFIC JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285-5718,2286-0126,,,,DEC,2022,11,2,,,,,213,217,,,,,,,,,,,,,,,,WOS:000905193100027,View Full Record in Web of Science
J,"Battiston, E; Falsini, S; Giovannelli, A; Schiff, S; Tani, C; Panaiia, R; Papini, A; Di Marco, S; Mugnai, L",,,,"Battiston, Enrico; Falsini, Sara; Giovannelli, Alessio; Schiff, Silvia; Tani, Corrado; Panaiia, Roberta; Papini, Alessio; Di Marco, Stefano; Mugnai, Laura",,,Xylem anatomy and hydraulic traits in Vitis grafted cuttings in view of their impact on the young grapevine decline,FRONTIERS IN PLANT SCIENCE,,,,,,,,,,,,,,,,,,"Battiston, Enrico/0000-0002-3776-590X",,,,,,,,,,,,,1664-462X,,,,,05-Oct,2022,13,,,,,,,,1006835,10.3389/fpls.2022.1006835,http://dx.doi.org/10.3389/fpls.2022.1006835,,,,,,,,36275539,,,,,WOS:000873764300001,View Full Record in Web of Science
J,"Rahemi, A; Fisher, H; Carter, K; Taghavi, T",,,,"Rahemi, Alireza; Fisher, Helen; Carter, Kathryn; Taghavi, Toktam",,,Mitigating grapevine winter damage in cold climate areas,HORTICULTURAL SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0862-867X,1805-9333,,,,,2022,49,2,,,,,59,70,,10.17221/176/2020-HORTSCI,http://dx.doi.org/10.17221/176/2020-HORTSCI,,,,,,,,,,,,,WOS:000821692100001,View Full Record in Web of Science
J,"Verdugo-Vasquez, N; Gutierrez-Gamboa, G; Diaz-Galvez, I; Ibacache, A; Zurita-Silva, A",,,,"Verdugo-Vasquez, Nicolas; Gutierrez-Gamboa, Gaston; Diaz-Galvez, Irina; Ibacache, Antonio; Zurita-Silva, Andres",,,"Modifications Induced by Rootstocks on Yield, Vigor and Nutritional Status on Vitis vinifera Cv Syrah under Hyper-Arid Conditions in Northern Chile",AGRONOMY-BASEL,,,,,,,,,,,,,,,,,"Verdugo-Vásquez, Nicolás/ABC-8462-2021; Verdugo-Vasquez, Nicolas/M-4560-2014","Verdugo-Vasquez, Nicolas/0000-0002-0016-5644; Gutierrez Gamboa, Gaston/0000-0003-3207-850X",,,,,,,,,,,,,,2073-4395,,,,MAY,2021,11,5,,,,,,,979,10.3390/agronomy11050979,http://dx.doi.org/10.3390/agronomy11050979,,,,,,,,,,,,,WOS:000653330800001,View Full Record in Web of Science
J,"Chitwood, DH",,,,"Chitwood, Daniel H.",,,The shapes of wine and table grape leaves: An ampelometric study inspired by the methods of Pierre Galet,PLANTS PEOPLE PLANET,,,,,,,,,,,,,,,,,,"Chitwood (he/him), Dan/0000-0003-4875-1447",,,,,,,,,,,,,,2572-2611,,,,MAR,2021,3,2,,,,,155,170,,10.1002/ppp3.10157,http://dx.doi.org/10.1002/ppp3.10157,,,,,,,,,,,,,WOS:000683464100007,View Full Record in Web of Science
C,"Gong, T; Zhao, X; Brecht, JK; Colee, J",,"Zhao, X; Kubota, C; PerkinsVeazie, P",,"Gong, T.; Zhao, X.; Brecht, J. K.; Colee, J.",,,Characterizing the impacts of 'generative' rootstocks on growth and development of grafted tomato plants,II INTERNATIONAL SYMPOSIUM ON VEGETABLE GRAFTING,Acta Horticulturae,,,,2nd International Symposium on Vegetable Grafting,"JUL 14-18, 2019","Charlotte, NC",Int Soc Hort Sci,,,,,,,,,,,,,,,,,,,,,,,0567-7572,2406-6168,978-94-62613-00-3,,,,2021,1302,,,,,,251,257,,10.17660/ActaHortic.2021.1302.33,http://dx.doi.org/10.17660/ActaHortic.2021.1302.33,,,,,,,,,,,,,WOS:000711424300033,View Full Record in Web of Science
J,"Liu, MQ; Ma, FL; Wu, FY; Jiang, CY; Wang, YJ",,,,"Liu, Mengqi; Ma, Fuli; Wu, Fengying; Jiang, Changyue; Wang, Yuejin",,,Expression of stilbene synthase VqSTS6 from wild Chinese Vitis quinquangularis in grapevine enhances resveratrol production and powdery mildew resistance,PLANTA,,,,,,,,,,,,,,,,,"WANG, YUE/GWQ-9256-2022",,,,,,,,,,,,,,0032-0935,1432-2048,,,,DEC,2019,250,6,,,,,1997,2007,,10.1007/s00425-019-03276-2,http://dx.doi.org/10.1007/s00425-019-03276-2,,,,,,,,31531782,,,,,WOS:000496035900015,View Full Record in Web of Science
J,"Assuncao, M; Santos, C; Brazao, J; Eiras-Dias, JE; Fevereiro, P",,,,"Assuncao, M.; Santos, C.; Brazao, J.; Eiras-Dias, J. E.; Fevereiro, P.",,,Understanding the molecular mechanisms underlying graft success in grapevine,BMC PLANT BIOLOGY,,,,,,,,,,,,,,,,,"Eiras-Dias, José J.E./B-5382-2016","Eiras-Dias, José J.E./0000-0001-7997-8199; Santos, Carmen/0000-0003-3743-7591; Brazao, Joao S./0000-0001-7223-8307; Fevereiro, Pedro/0000-0003-1311-8406; Assuncao, Maria/0000-0003-3143-7427",,,,,,,,,,,,,1471-2229,,,,,11-Sep,2019,19,1,,,,,,,396,10.1186/s12870-019-1967-8,http://dx.doi.org/10.1186/s12870-019-1967-8,,,,,,,,31510937,,,,,WOS:000485241100001,View Full Record in Web of Science
J,"Forneck, A; Mammerler, R; Tello, J; Breuer, M; Muller, J; Fahrentrapp, J",,,,"Forneck, A.; Mammerler, R.; Tello, J.; Breuer, M.; Mueller, J.; Fahrentrapp, J.",,,First European leaf-feeding grape phylloxera (Daktulosphaira vitifoliae Fitch) survey in Swiss and German commercial vineyards,EUROPEAN JOURNAL OF PLANT PATHOLOGY,,,,,,,,,,,,,,,,,"Tello, Javier/I-9600-2019","Tello, Javier/0000-0002-6299-5563; Forneck, Astrid/0000-0003-2540-3714; Fahrentrapp, Johannes/0000-0003-4259-6634",,,,,,,,,,,,,0929-1873,1573-8469,,,,AUG,2019,154,4,,,,,1029,1039,,10.1007/s10658-019-01723-0,http://dx.doi.org/10.1007/s10658-019-01723-0,,,,,,,,,,,,,WOS:000482434600014,View Full Record in Web of Science
J,"Songy, A; Fernandez, O; Clement, C; Larignon, P; Fontaine, F",,,,"Songy, A.; Fernandez, O.; Clement, C.; Larignon, P.; Fontaine, F.",,,Grapevine trunk diseases under thermal and water stresses,PLANTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0032-0935,1432-2048,,,,JUN,2019,249,6,,,,,1655,1679,,10.1007/s00425-019-03111-8,http://dx.doi.org/10.1007/s00425-019-03111-8,,,,,,,,30805725,,,,,WOS:000467489300001,View Full Record in Web of Science
J,"Hao, XY; Bi, WL; Cui, ZH; Pan, C; Xu, Y; Wang, QC",,,,"Hao, X. -Y.; Bi, W. -L.; Cui, Z. -H.; Pan, C.; Xu, Y.; Wang, Q. -C.",,,"Development, histological observations and Grapevine leafroll-associated virus-3 localisation in in vitro grapevine micrografts",ANNALS OF APPLIED BIOLOGY,,,,,,,,,,,,,,,,,,"Bi, Wenlu/0000-0001-8852-5298",,,,,,,,,,,,,0003-4746,1744-7348,,,,MAY,2017,170,3,,,,,379,390,,10.1111/aab.12342,http://dx.doi.org/10.1111/aab.12342,,,,,,,,,,,,,WOS:000400292800008,View Full Record in Web of Science
J,"Forneck, A; Anhalt, UCM; Mammerler, R; Griesser, M",,,,"Forneck, Astrid; Anhalt, Ulrike C. M.; Mammerler, Roswitha; Griesser, Michaela",,,No evidence of superclones in leaf-feeding forms of austrian grape phylloxera (Daktulosphaira vitifoliae),EUROPEAN JOURNAL OF PLANT PATHOLOGY,,,,,,,,,,,,,,,,,"Anhalt, Ulrike C M/D-2480-2013; forneck, astrid/C-2946-2008","Forneck, Astrid/0000-0003-2540-3714; Griesser, Michaela/0000-0002-1756-1264",,,,,,,,,,,,,0929-1873,1573-8469,,,,JUL,2015,142,3,,,,,441,448,,10.1007/s10658-015-0624-9,http://dx.doi.org/10.1007/s10658-015-0624-9,,,,,,,,,,,,,WOS:000355622300002,View Full Record in Web of Science
J,"Nascimento, MB; Fajardo, TVM; Eiras, M; Czermainski, ABC; Nickel, O; Pio-Ribeiro, G",,,,"Nascimento, Monique Bezerra; Martins Fajardo, Thor Vinicius; Eiras, Marcelo; Costa Czermainski, Ana Beatriz; Nickel, Osmar; Pio-Ribeiro, Gilvan",,,"Agronomic performance of grapevines with and without virus symptoms, and molecular comparison of viral isolates",PESQUISA AGROPECUARIA BRASILEIRA,,,,,,,,,,,,,,,,,,"Eiras, Marcelo/0000-0001-7901-9107",,,,,,,,,,,,,0100-204X,1678-3921,,,,JUL,2015,50,7,,,,,541,550,,10.1590/S0100-204X2015000700004,http://dx.doi.org/10.1590/S0100-204X2015000700004,,,,,,,,,,,,,WOS:000359312600004,View Full Record in Web of Science
C,"Perez-Perez, JG; Garcia-Sanchez, F; Robles, JM; Garcia-Oller, IM; Quinto, V; Cordoba, F; Arques, E; Frutos, JM; Botia, P",,"Tellez, FA; Rodriguez, AM; Sancho, IM; Robinson, MV; RuizAltisent, M; Ballesteros, FR; Hernando, ECC",,"Perez-Perez, J. G.; Garcia-Sanchez, F.; Robles, J. M.; Garcia-Oller, I. M.; Quinto, V.; Cordoba, F.; Arques, E.; Frutos, J. M.; Botia, P.",,,Agronomic response to saline irrigation of two citrus species grafted on one salinity tolerant rootstock,VII CONGRESO IBERICO DE AGROINGENIERIA Y CIENCIAS HORTICOLAS: INNOVAR Y PRODUCIR PARA EL FUTURO. INNOVATING AND PRODUCING FOR THE FUTURE,,,,,7th Iberian Congress of Agricultural Engineering and Horticultural Sciences,"AUG 26-29, 2013","Madrid, SPAIN","Sociedad Espanola Agroingenieria,Sociedad Espanola Ciencias Horticolas,Associacao Portuguesa Horticultura,Secc Especializada Ingn Rural Sociedad Ciencias Agrarias Portugal,Univ Politecnica Madrid,Escuela Tecnica Superior Ingenieros Agronomos Madrid,Escuela Univ Ingenieros Tecnicos Agricolas Madrid,Campus Excelencia Internac,Comis Espanola Ingn Rural,European Soc Agr",,,,,,,,,"Garcia-Sanchez, Francisco/C-5966-2009; ORDAZ, PABLO BOTIA/AAT-4462-2021; Pérez-Pérez, Juan/Q-6244-2016; Pérez-Pérez, Juan Gabriel/AAK-7597-2020","Garcia-Sanchez, Francisco/0000-0002-5884-4818; ORDAZ, PABLO BOTIA/0000-0002-3646-3264; Pérez-Pérez, Juan/0000-0002-8012-119X; Pérez-Pérez, Juan Gabriel/0000-0002-8012-119X",,,,,,,,,,,,,,,978-84-695-9055-3,,,,2014,,,,,,,1469,1474,,,,,,,,,,,,,,,,WOS:000376620800249,View Full Record in Web of Science
J,"Haroldsen, VM; Chi-Ham, CL; Bennett, AB",,,,"Haroldsen, Victor M.; Chi-Ham, Cecilia L.; Bennett, Alan B.",,,Transgene mobilization and regulatory uncertainty for non-GE fruit products of transgenic rootstocks,JOURNAL OF BIOTECHNOLOGY,,,,,,,,,,,,,,,,,"Bennett, Alan B/D-8980-2011; Haroldsen, Victor/R-1347-2019","Bennett, Alan B/0000-0002-3684-4307; ",,,,,,,,,,,,,0168-1656,1873-4863,,,,31-Oct,2012,161,3,,,,,349,353,,10.1016/j.jbiotec.2012.06.017,http://dx.doi.org/10.1016/j.jbiotec.2012.06.017,,,,,,,,22749907,,,,,WOS:000308354100022,View Full Record in Web of Science
J,"Alkowni, R; Zhang, YP; Rowhani, A; Uyemoto, JK; Minafra, A",,,,"Alkowni, Raed; Zhang, Yun-Ping; Rowhani, Adib; Uyemoto, Jerry K.; Minafra, Angelantonio",,,"Biological, molecular, and serological studies of a novel strain of grapevine leafroll-associated virus 2",VIRUS GENES,,,,,,,,,,,,,,,,,"Alkowni, Raed/AAE-5595-2019; Alkowni, Raed/K-8635-2019","Alkowni, Raed/0000-0001-6194-1590; ",,,,,,,,,,,,,0920-8569,1572-994X,,,,AUG,2011,43,1,,,,,102,110,,10.1007/s11262-011-0607-7,http://dx.doi.org/10.1007/s11262-011-0607-7,,,,,,,,21487783,,,,,WOS:000292158900016,View Full Record in Web of Science
J,"Alsina, MM; Smart, DR; Bauerle, T; de Herralde, F; Biel, C; Stockert, C; Negron, C; Save, R",,,,"Mar Alsina, Maria; Smart, David R.; Bauerle, Taryn; de Herralde, Felicidad; Biel, Carme; Stockert, Christine; Negron, Claudia; Save, Robert",,,Seasonal changes of whole root system conductance by a drought-tolerant grape root system,JOURNAL OF EXPERIMENTAL BOTANY,,,,,,,,,,,,,,,,,"Biel, Carmen/G-6816-2014; Alsina, Maria Mar/C-2879-2009; de Herralde, Felicidad/A-2817-2014","Alsina, Maria Mar/0000-0001-5344-0980; de Herralde, Felicidad/0000-0003-1274-1482",,,,,,,,,,,,,0022-0957,1460-2431,,,,JAN,2011,62,1,,,,,99,109,,10.1093/jxb/erq247,http://dx.doi.org/10.1093/jxb/erq247,,,,,,,,20851906,,,,,WOS:000284951900009,View Full Record in Web of Science
J,"Lee, J; Martin, RR",,,,"Lee, Jungmin; Martin, Robert R.",,,Analysis of grape polyamines from Grapevine leafroll associated viruses (GLRaV-2 and-3) infected vines,FOOD CHEMISTRY,,,,,,,,,,,,,,,,,"Lee, Jungmin/J-1113-2019; Lee, Jungmin/G-6555-2013","Lee, Jungmin/0000-0002-8660-9444; Lee, Jungmin/0000-0002-8660-9444",,,,,,,,,,,,,0308-8146,1873-7072,,,,15-Oct,2010,122,4,,,,,1222,1225,,10.1016/j.foodchem.2010.03.118,http://dx.doi.org/10.1016/j.foodchem.2010.03.118,,,,,,,,,,,,,WOS:000278582400043,View Full Record in Web of Science
J,"Gramaje, D; Armengol, J; Salazar, D; Lopez-Cortes, I; Garcia-Jimenez, J",,,,"Gramaje, David; Armengol, Josep; Salazar, Domingo; Lopez-Cortes, Isabel; Garcia-Jimenez, Jose",,,Effect of hot-water treatments above 50 degrees C on grapevine viability and survival of Petri disease pathogens,CROP PROTECTION,,,,,,,,,,,,,,,,,"Hernández, Domingo M Salazar/K-9025-2014; Armengol, Josep/HJY-5906-2023; López Cortés, Isabel/K-9002-2014; Gramaje, David/M-7006-2017","Hernández, Domingo M Salazar/0000-0003-1753-6509; Armengol, Josep/0000-0003-3815-8578; López Cortés, Isabel/0000-0002-0994-1689; Gramaje, David/0000-0003-1755-3413",,,,,,,,,,,,,0261-2194,1873-6904,,,,MAR,2009,28,3,,,,,280,285,,10.1016/j.cropro.2008.11.002,http://dx.doi.org/10.1016/j.cropro.2008.11.002,,,,,,,,,,,,,WOS:000263853100011,View Full Record in Web of Science
J,"Lee, JM; Martin, RR",,,,"Lee, Jungmin; Martin, Robert R.",,,Influence of grapevine leafroll associated viruses (GLRaV-2 and-3) on the fruit composition of Oregon Vitis vinifera L. cv. Pinot noir: Phenolics,FOOD CHEMISTRY,,,,,,,,,,,,,,,,,"Lee, Jungmin/J-1113-2019; Lee, Jungmin/G-6555-2013","Lee, Jungmin/0000-0002-8660-9444; Lee, Jungmin/0000-0002-8660-9444",,,,,,,,,,,,,0308-8146,1873-7072,,,,15-Feb,2009,112,4,,,,,889,896,,10.1016/j.foodchem.2008.06.065,http://dx.doi.org/10.1016/j.foodchem.2008.06.065,,,,,,,,,,,,,WOS:000259893600019,View Full Record in Web of Science
J,"Louzada, ES; del Rio, HS; Setamou, M; Watson, JW; Swietlik, DM",,,,"Louzada, E. S.; del Rio, H. S.; Setamou, M.; Watson, J. W.; Swietlik, D. M.",,,"Evaluation of citrus rootstocks for the high pH, calcareous soils of South Texas",EUPHYTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0014-2336,1573-5060,,,,NOV,2008,164,1,,,,,13,18,,10.1007/s10681-008-9701-x,http://dx.doi.org/10.1007/s10681-008-9701-x,,,,,,,,,,,,,WOS:000259697100002,View Full Record in Web of Science
C,"Sharma, J; Upadhyay, AK",,"Adsule, PG; Sawant, IS; Shikhamany, SD",,"Sharma, Jagdev; Upadhyay, A. K.",,,Rootstock effect on Tas-A-Ganesh (Vitis vinifera L.) for sodium and chloride uptake,PROCEEDINGS OF THE INTERNATIONAL SYMPOSIUM ON GRAPE PRODUCTION AND PROCESSING,Acta Horticulturae,,,,International Symposium on Grape Production and Processing,"FEB 06-11, 2006","Baramati, INDIA","Agr & Processed Food Prod Export Dev Author,Indian Farmers Fertilizer Cooperat Ltd,Maharashtra Agro Industries Dev Corp Ltd,Indian Council Agr Res,Natl Res Ctr Grapes,Federat Indian Chambers Commerce & Ind,Natl Hort Board,Minist Food Proc Industries,Natl Bank Agr & Rual Dev,Vidya Pratishthan",,,,,,,,,"Sharma, Jagdev/AGU-5088-2022",,,,,,,,,,,,,,0567-7572,2406-6168,978-90-6605-268-0,,,,2008,,785,,,,,113,116,,,,,,,,,,,,,,,,WOS:000257237400012,View Full Record in Web of Science
C,"Policarpo, M; Tomasi, D; Porro, D; Zorer, R; Stefanini, M; Stefanini, M",,"Nuzzo, V; Giorio, P; Giulivo, C",,"Policarpo, M.; Tomasi, D.; Porro, D.; Zorer, R.; Stefanini, M.; Stefanini, M.",,,A rapid process to replace a variety in grapevine,PROCEEDINGS OF THE INTERNATIONAL WORKSHOP ON ADVANCES IN GRAPEVINE AND WINE RESEARCH,ACTA HORTICULTURAE,,,,International Workshop on Advances in Grapevine and Wine Research,"SEP 15-17, 2005","Venosa, ITALY",,,,,,,,,,,"Zorer, Roberto/0000-0003-3832-6033; Stefanini, Marco/0000-0001-7829-0528",,,,,,,,,,,,,0567-7572,,978-90-6605-620-6,,,,2007,,754,,,,,413,419,,10.17660/ActaHortic.2007.754.55,http://dx.doi.org/10.17660/ActaHortic.2007.754.55,,,,,,,,,,,,,WOS:000253557600055,View Full Record in Web of Science
J,"Kose, C; Guleryuz, M",,,,"Kose, Cafer; Guleryuz, Muharrem",,,Effects of auxins and cytokinins on graft union of grapevine (Vitis vinifera),NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114-0671,,,,,JUN,2006,34,2,,,,,145,150,,,,,,,,,,,,,,,,WOS:000239325300006,View Full Record in Web of Science
J,"Pathirana, R; McKenzie, MJ",,,,"Pathirana, R; McKenzie, MJ",,,A modified green-grafting technique for large-scale virus indexing of grapevine (Vitis vinifera L.),SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,"McKenzie, Marian J/D-1701-2016; Pathirana, Ranjith/O-1318-2019; Pathirana, Ranjith/E-6239-2010","McKenzie, Marian J/0000-0002-0192-5799; Pathirana, Ranjith/0000-0003-0838-5163; Pathirana, Ranjith/0000-0003-0838-5163",,,,,,,,,,,,,0304-4238,,,,,01-Dec,2005,107,1,,,,,97,102,,10.1016/j.scienta.2005.06.002,http://dx.doi.org/10.1016/j.scienta.2005.06.002,,,,,,,,,,,,,WOS:000233620000014,View Full Record in Web of Science
J,"Ritenour, MA; Dou, H; Bowman, KD; Boman, BJ; Stover, E; Castle, WS",,,,"Ritenour, MA; Dou, H; Bowman, KD; Boman, BJ; Stover, E; Castle, WS",,,Effect of rootstock on stem-end rind breakdown and decay of fresh citrus,HORTTECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063-0198,,,,,JUL-SEP,2004,14,3,,,,,315,319,,10.21273/HORTTECH.14.3.0315,http://dx.doi.org/10.21273/HORTTECH.14.3.0315,,,,,,,,,,,,,WOS:000222432300002,View Full Record in Web of Science
J,"Vigne, E; Komar, V; Fuchs, M",,,,"Vigne, E; Komar, V; Fuchs, M",,,Field safety assessment of recombination in transgenic grapevines expressing the coat protein gene of Grapevine fanleaf virus,TRANSGENIC RESEARCH,,,,,,,,,,,,,,,,,,"VIGNE, Emmanuelle/0000-0002-3287-0786",,,,,,,,,,,,,0962-8819,1573-9368,,,,APR,2004,13,2,,,,,165,179,,10.1023/B:TRAG.0000026075.79097.c9,http://dx.doi.org/10.1023/B:TRAG.0000026075.79097.c9,,,,,,,,15198204,,,,,WOS:000221121900008,View Full Record in Web of Science
J,"Nas, MN; Read, PE",,,,"Nas, MN; Read, PE",,,"Simultaneous micrografting, rooting and acclimatization of micropropagated American chestnut, grapevine and hybrid hazelnut",EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611-4426,,,,,NOV,2003,68,5,,,,,234,237,,,,,,,,,,,,,,,,WOS:000188413700006,View Full Record in Web of Science
J,"Khmel, IA; Sorokina, TA; Lemanova, NB; Lipasova, VA; Metlitski, OZ; Burdeinaya, TV; Chernin, LS",,,,"Khmel, IA; Sorokina, TA; Lemanova, NB; Lipasova, VA; Metlitski, OZ; Burdeinaya, TV; Chernin, LS",,,Biological control of crown gall in grapevine and raspberry by two Pseudomonas spp. with a wide spectrum of antagonistic activity,BIOCONTROL SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0958-3157,1360-0478,,,,MAR,1998,8,1,,,,,45,57,,10.1080/09583159830423,http://dx.doi.org/10.1080/09583159830423,,,,,,,,,,,,,WOS:000073227200005,View Full Record in Web of Science
J,"Mauro, MC; Toutain, S; Walter, B; Pinck, L; Otten, L; CoutosThevenot, P; Deloire, A; Barbier, P",,,,"Mauro, MC; Toutain, S; Walter, B; Pinck, L; Otten, L; CoutosThevenot, P; Deloire, A; Barbier, P",,,High efficiency regeneration of grapevine plants transformed with the GFLV coat protein gene,PLANT SCIENCE,,,,,,,,,,,,,,,,,"Deloire, Alain/L-6835-2014","Deloire, Alain/0000-0002-8024-5774; Deloire, Alain/0000-0001-9509-6866",,,,,,,,,,,,,0168-9452,,,,,24-Nov,1995,112,1,,,,,97,106,,10.1016/0168-9452(95)04246-Q,http://dx.doi.org/10.1016/0168-9452(95)04246-Q,,,,,,,,,,,,,WOS:A1995TK69700010,View Full Record in Web of Science
J,"CAUDWELL, A; KUSZALA, C",,,,"CAUDWELL, A; KUSZALA, C",,,AN ELISA TEST IN THE DIAGNOSIS OF A GRAPEVINE YELLOW DISEASE,RESEARCH IN MICROBIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0923-2508,,,,,OCT,1992,143,8,,,,,791,806,,10.1016/0923-2508(92)90108-Z,http://dx.doi.org/10.1016/0923-2508(92)90108-Z,,,,,,,,1298032,,,,,WOS:A1992JX00400007,View Full Record in Web of Science
J,"BAZZI, C; STEFANI, E; GOZZI, R; BURR, TJ; MOORE, CL; ANACLERIO, F",,,,"BAZZI, C; STEFANI, E; GOZZI, R; BURR, TJ; MOORE, CL; ANACLERIO, F",,,HOT-WATER TREATMENT OF DORMANT GRAPE CUTTINGS - ITS EFFECTS ON AGROBACTERIUM-TUMEFACIENS AND ON GRAFTING AND GROWTH OF VINE,VITIS,,,,,,,,,,,,,,,,,"Stefani, Emilio/D-8032-2015","Stefani, Emilio/0000-0002-0093-022X",,,,,,,,,,,,,0042-7500,,,,,SEP,1991,30,3,,,,,177,187,,,,,,,,,,,,,,,,WOS:A1991GH22600005,View Full Record in Web of Science
